mean_total_return,w_HOLD+Galaxis+EURO+Abszolút+Hozamú+Alapok+Alapja,w_HOLD+Hozamkereső+Európai+Származtatott+Részvény+Befektetési+Alap,w_HOLD+Kötvény+Befektetési+Alap,w_HOLD+Közép-európai+Részvény+Befektetési+Alap,w_HOLD+Nemzetközi+Részvény+Alapok+Alapja+A+sorozat,w_HOLD+Orion+Abszolút+Hozamú+Származtatott+Befektetési+Alap+B+sorozat+EUR,w_HOLD+Részvény+Befektetési+Alap+A+sorozat+HUF,w_HOLD+Részvény+Befektetési+Alap+B+sorozat+EUR,w_HOLD+Rövid+Futamidejű+Kötvény+Befektetési+Alap,w_HOLD+Széf+USD+Abszolút+Hozamú+Befektetési+Alap,w_HOLD+VM+Abszolút+Hozamú+Származtatott+Befektetési+Alap+C+sorozat,w_HOLD+VM+EURO+Abszolút+Hozamú+Alapok+Alapja,w_Palomar+Abszolút+Hozamú+Származtatott+Befektetési+Alap+A+sorozat+HUF,w_Palomar+Abszolút+Hozamú+Származtatott+Befektetési+Alap+B+sorozat+EUR,w_Palomar+Abszolút+Hozamú+Származtatott+Befektetési+Alap+C+sorozat+USD,w_Platina+Delta+Abszolút+Hozamú+Származtatott+Befektetési+Alap+E+sorozat+EUR,w_Platina+Delta+Abszolút+Hozamú+Származtatott+Befektetési+Alap+X+sorozat+HUF,w_Superposition+Abszolút+Hozamú+Származtatott+Befektetési+Alap+A+sorozat,w_Superposition+Abszolút+Hozamú+Származtatott+Befektetési+Alap+D+sorozat+EUR
0.1697622686624527,0.004437376841296976,0.0024872952537790217,0.009468229662505948,0.22423250566202504,0.014647972320137755,0.0034758845523987694,0.3057923323887944,0.05007069272764244,0.018305787138437068,0.0027974873237167773,0.016491820332696396,0.06561730941274888,0.006252956805170085,0.04532003423422022,0.053413506680846996,0.027149838357884478,0.03377321838341963,0.10550394145474037,0.010761810467538433
0.1655062437057495,0.03950931582433129,0.02562537604363564,0.012769486877675611,0.2813533171102046,0.09801147192530917,0.04614342159667305,0.14135047909538298,0.00190714277624638,0.0035877155478426814,0.04509910315848302,0.00011560006929191557,0.011605891657802193,0.09855869398844838,0.08839238235972188,0.024027282080278215,0.0021645859238823948,0.014663666245760548,0.0013856763899999702,0.06372939132902998
0.16356684267520905,0.0567495468450832,0.040946802581311774,0.015502920907026936,0.16391336485713867,0.11284831324028445,0.14152834311744883,0.09526945084359084,0.10611853314539016,0.0014842064742801042,0.030842232350048498,0.07034588104774214,0.02321988740526983,0.07187222314142915,0.01194143087046797,0.016562046126504536,0.02764325453466826,0.011448348175797094,0.00120695640812889,0.0005562579283887544
0.16338275372982025,0.0530634391509257,0.04097513027476004,0.0872867788347008,0.30549590520090053,0.07213615667543125,0.03242908611388018,0.09665818646286392,0.04703203143004387,0.016517057244588042,0.04915520551082695,0.01619427867738927,0.02183958569223017,0.07644709934017338,0.0007551675204223978,0.034516278997014094,0.014652791186001223,0.013421585019865631,0.019634313608409518,0.0017899230595731126
0.16078095138072968,0.0374885826768319,0.06542053998687472,0.09415869559089693,0.08064849250407248,0.11414477131047565,0.09971210775225225,0.25842051126019533,0.020884922017406125,0.001970213257013546,0.020584210218680697,0.02727113426532583,0.07575855418487346,0.006633400611026848,0.004697747218353858,0.001357037015426576,0.05103673318555766,0.010664461099243546,0.027229346904844194,0.0019185389406484597
0.15973123908042908,0.026978966739492058,0.009530132733224748,0.04275253268350061,0.061014224317406794,0.028742772501368186,0.07564022352214336,0.3132199077746006,0.12074176318401048,0.046412580688713186,0.01788072346167176,0.012941607587858756,0.02205828269471033,0.01037130157315766,0.01537017776338876,0.029258344687361385,0.011112944957423534,0.04664944902949306,0.0749616600681587,0.03436240403231596
0.1591031700372696,0.013956351267875816,0.08710340622566354,0.0092943593736588,0.08023691780458488,0.44411805830069734,0.050296653386779494,0.02419151945193301,6.22862044701479e-05,0.017530349401075118,0.008956870489170632,0.03672916361211297,0.017471525451680466,0.04271826218789829,0.013378158901145555,0.03274573930481087,0.028533090878743835,0.032842174073690326,0.00819534199113218,0.0516397716928769
0.15602876245975494,0.06556800509363998,0.0706192402214568,0.022419853208330395,0.1902440701314536,0.021575631805721276,0.08325898618952503,0.12990342374186978,0.1421173920834018,0.01957981594582339,0.043001908131277376,0.02356821431329518,0.02117324727966771,0.05605942819804203,0.014539521488694172,0.019225274192338025,0.004037838910291429,0.005935986005078963,0.057013633008730795,0.01015853005136242
0.15579886734485626,0.035045347040350366,0.04853398375302987,0.018810579028583137,0.28919582585000264,0.14669832007548664,0.05027083934961665,0.005153365949558859,0.0392624291678154,0.06568373663835565,0.06158411273448603,0.006851731427817763,0.012888910093655441,0.06059446026527769,0.0044507516300232135,0.0056341777249575165,0.038012292266242954,0.058679704336750196,0.04656525496261181,0.006084177705378
0.15534178912639618,0.13605359478570683,0.048693522020551654,0.00711314514294019,0.19287235703584346,0.013238510382649393,0.16233499832087175,0.10784217311558685,0.020850886547943655,0.07232445027515695,0.014335895979185134,0.04933322732622311,0.0053530071480844136,0.028005518821572057,0.028232735081952384,0.015362765495064146,0.018740877196898275,0.016174495177618556,0.049177826635113574,0.013960013511037681
